"filename", "language", "PHP", "XML", "JavaScript", "JSON", "Markdown", "PostCSS", "comment", "blank", "total"
"/home/teod0r/Documents/Uni/kvalis/movie-platform/database/migrations/2025_11_24_155455_markable_seen.php", "PHP", 21, 0, 0, 0, 0, 0, 7, 4, 32
"/home/teod0r/Documents/Uni/kvalis/movie-platform/database/migrations/2025_12_02_162547_create_review_likes_table.php", "PHP", 21, 0, 0, 0, 0, 0, 6, 4, 31
"/home/teod0r/Documents/Uni/kvalis/movie-platform/database/migrations/2025_12_03_100138_activities.php", "PHP", 21, 0, 0, 0, 0, 0, 6, 4, 31
"/home/teod0r/Documents/Uni/kvalis/movie-platform/database/seeders/DatabaseSeeder.php", "PHP", 17, 0, 0, 0, 0, 0, 3, 7, 27
"/home/teod0r/Documents/Uni/kvalis/movie-platform/package-lock.json", "JSON", 0, 0, 0, 5805, 0, 0, 0, 1, 5806
"/home/teod0r/Documents/Uni/kvalis/movie-platform/package.json", "JSON", 0, 0, 0, 26, 0, 0, 0, 1, 27
"/home/teod0r/Documents/Uni/kvalis/movie-platform/phpunit.xml", "XML", 0, 34, 0, 0, 0, 0, 0, 1, 35
"/home/teod0r/Documents/Uni/kvalis/movie-platform/postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 1, 7
"/home/teod0r/Documents/Uni/kvalis/movie-platform/public/images/eye.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/teod0r/Documents/Uni/kvalis/movie-platform/public/index.php", "PHP", 10, 0, 0, 0, 0, 0, 4, 7, 21
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/css/app.css", "PostCSS", 0, 0, 0, 0, 0, 3, 0, 1, 4
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/js/app.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 4, 8
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/js/bootstrap.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 2, 5
