"filename", "language", "XML", "PHP", "JavaScript", "PostCSS", "JSON", "Markdown", "comment", "blank", "total"
"/home/teod0r/Documents/Uni/kvalis/movie-platform/README.md", "Markdown", 0, 0, 0, 0, 0, 40, 0, 22, 62
"/home/teod0r/Documents/Uni/kvalis/movie-platform/app/Console/Commands/InsertData.php", "PHP", 0, 92, 0, 0, 0, 0, 17, 19, 128
"/home/teod0r/Documents/Uni/kvalis/movie-platform/app/Http/Controllers/AdminController.php", "PHP", 0, 37, 0, 0, 0, 0, 2, 13, 52
"/home/teod0r/Documents/Uni/kvalis/movie-platform/app/Http/Controllers/Auth/AuthenticatedSessionController.php", "PHP", 0, 28, 0, 0, 0, 0, 9, 11, 48
"/home/teod0r/Documents/Uni/kvalis/movie-platform/app/Http/Controllers/Auth/ConfirmablePasswordController.php", "PHP", 0, 28, 0, 0, 0, 0, 6, 7, 41
"/home/teod0r/Documents/Uni/kvalis/movie-platform/app/Http/Controllers/Auth/EmailVerificationNotificationController.php", "PHP", 0, 16, 0, 0, 0, 0, 3, 6, 25
"/home/teod0r/Documents/Uni/kvalis/movie-platform/app/Http/Controllers/Auth/EmailVerificationPromptController.php", "PHP", 0, 15, 0, 0, 0, 0, 3, 4, 22
"/home/teod0r/Documents/Uni/kvalis/movie-platform/app/Http/Controllers/Auth/NewPasswordController.php", "PHP", 0, 41, 0, 0, 0, 0, 14, 8, 63
"/home/teod0r/Documents/Uni/kvalis/movie-platform/app/Http/Controllers/Auth/PasswordController.php", "PHP", 0, 21, 0, 0, 0, 0, 3, 6, 30
"/home/teod0r/Documents/Uni/kvalis/movie-platform/app/Http/Controllers/Auth/PasswordResetLinkController.php", "PHP", 0, 27, 0, 0, 0, 0, 11, 7, 45
"/home/teod0r/Documents/Uni/kvalis/movie-platform/app/Http/Controllers/Auth/RegisteredUserController.php", "PHP", 0, 34, 0, 0, 0, 0, 8, 9, 51
"/home/teod0r/Documents/Uni/kvalis/movie-platform/app/Http/Controllers/Auth/VerifyEmailController.php", "PHP", 0, 19, 0, 0, 0, 0, 3, 6, 28
"/home/teod0r/Documents/Uni/kvalis/movie-platform/app/Http/Controllers/CommentController.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 8, 31
"/home/teod0r/Documents/Uni/kvalis/movie-platform/app/Http/Controllers/Controller.php", "PHP", 0, 5, 0, 0, 0, 0, 1, 3, 9
"/home/teod0r/Documents/Uni/kvalis/movie-platform/app/Http/Controllers/FeedController.php", "PHP", 0, 20, 0, 0, 0, 0, 2, 7, 29
"/home/teod0r/Documents/Uni/kvalis/movie-platform/app/Http/Controllers/GenreController.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 7, 20
"/home/teod0r/Documents/Uni/kvalis/movie-platform/app/Http/Controllers/ListController.php", "PHP", 0, 44, 0, 0, 0, 0, 0, 15, 59
"/home/teod0r/Documents/Uni/kvalis/movie-platform/app/Http/Controllers/MarkController.php", "PHP", 0, 49, 0, 0, 0, 0, 1, 15, 65
"/home/teod0r/Documents/Uni/kvalis/movie-platform/app/Http/Controllers/MovieController.php", "PHP", 0, 110, 0, 0, 0, 0, 3, 28, 141
"/home/teod0r/Documents/Uni/kvalis/movie-platform/app/Http/Controllers/PeopleController.php", "PHP", 0, 29, 0, 0, 0, 0, 2, 10, 41
"/home/teod0r/Documents/Uni/kvalis/movie-platform/app/Http/Controllers/ProfileController.php", "PHP", 0, 62, 0, 0, 0, 0, 10, 20, 92
"/home/teod0r/Documents/Uni/kvalis/movie-platform/app/Http/Controllers/QuizController.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 8, 30
"/home/teod0r/Documents/Uni/kvalis/movie-platform/app/Http/Controllers/ReviewController.php", "PHP", 0, 26, 0, 0, 0, 0, 2, 9, 37
"/home/teod0r/Documents/Uni/kvalis/movie-platform/app/Http/Controllers/UserRelationshipController.php", "PHP", 0, 46, 0, 0, 0, 0, 4, 15, 65
"/home/teod0r/Documents/Uni/kvalis/movie-platform/app/Http/Middleware/Admin.php", "PHP", 0, 16, 0, 0, 0, 0, 5, 5, 26
"/home/teod0r/Documents/Uni/kvalis/movie-platform/app/Http/Middleware/CheckQuizCompletion.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 6, 23
"/home/teod0r/Documents/Uni/kvalis/movie-platform/app/Http/Requests/Auth/LoginRequest.php", "PHP", 0, 51, 0, 0, 0, 0, 21, 14, 86
"/home/teod0r/Documents/Uni/kvalis/movie-platform/app/Http/Requests/ProfileUpdateRequest.php", "PHP", 0, 27, 0, 0, 0, 0, 5, 4, 36
